id,kanji_id,id-ID,en-US
1,1,Anak itu lari ke depan lebih dulu—dia mau jadi yang paling dahulu (先)!,The kid with horns runs ahead — he wants to go first (先)!
2,2,Tumbuhan yang muncul dari tanah itu masih hidup dan mentah — itu adalah kehidupan (生)!,"The little sprout is raw, alive, and growing — that's life (生)!"
3,3,Anak kecil duduk di bawah atap untuk belajar (学)!,A child sits under a roof to study (学)!
4,4,Dua kaki orang yang berjalan (人)!,Two legs of a person walking (人)!
5,5,Satu garis horizontal - seperti angka 1 (一)!,One horizontal line - like the number 1 (一)!
6,6,Dua garis horizontal - seperti angka 2 (二)!,Two horizontal lines - like the number 2 (二)!
7,7,Tiga garis horizontal - seperti angka 3 (三)!,Three horizontal lines - like the number 3 (三)!
8,8,Empat sisi kotak yang terbuka (四)!,Four sides of an open box (四)!
9,9,Lima seperti X ditambah garis di atas dan bawah (五)!,Five like X plus lines above and below (五)!
10,10,Enam seperti topi di atas kepala besar (六)!,Six like a hat on a big head (六)!
11,11,Tujuh seperti angka 7 dengan garis di atas (七)!,Seven like the number 7 with a line on top (七)!
12,12,Delapan seperti dua gunung (八)!,Eight like two mountains (八)!
13,13,Sembilan seperti menekuk lutut (九)!,Nine like bending the knee (九)!
14,14,Sepuluh seperti salib + (十)!,Ten like a cross + (十)!
15,15,Seratus seperti satu (一) dan putih (白) tanpa titik (百)!,Hundred like one (一) and white (白) without dot (百)!
16,16,Seribu seperti sepuluh (十) di atas orang (人) (千)!,Thousand like ten (十) above person (人) (千)!
17,17,Sepuluh ribu seperti satu (一) dengan kumis melengkung (万)!,Ten thousand like one (一) with curved mustache (万)!
18,18,Yen seperti kotak dengan garis di tengah (円)!,Yen like a box with line in the middle (円)!
19,19,Waktu seperti matahari (日) di dalam kuil (寺) (時)!,Time like sun (日) inside temple (寺) (時)!
20,20,Menit seperti pisau (刀) memotong delapan (八) (分)!,Minute like knife (刀) cutting eight (八) (分)!
21,21,Setengah seperti sapi (牛) yang dipotong dua (半)!,Half like cow (牛) cut in two (半)!
22,22,Apa seperti orang bertanya dengan mulut terbuka (何)!,What like person asking with open mouth (何)!
23,23,Hari seperti matahari kotak (日)!,Day like square sun (日)!
24,24,Buku seperti pohon (木) dengan garis besar (本)!,Book like tree (木) with thick line (本)!
25,25,Bulan seperti sabit bulan (月)!,Month like crescent moon (月)!
26,26,Api seperti orang dengan tangan terangkat (火)!,Fire like person with raised hands (火)!
27,27,Air seperti tiga tetes air (水)!,Water like three drops of water (水)!
28,28,Pohon seperti pohon dengan cabang (木)!,Tree like tree with branches (木)!
29,29,Emas seperti gunung (山) dengan emas di dalamnya (金)!,Gold like mountain (山) with gold inside (金)!
30,30,Tanah seperti sepuluh (十) di atas garis (土)!,Earth like ten (十) above line (土)!
31,31,Tahun seperti orang tua dengan tongkat (年)!,Year like old person with stick (年)!
32,32,Sekarang seperti atap dengan penyangga (今)!,Now like roof with support (今)!
33,33,Setiap seperti ibu (毋) dengan titik (毎)!,Every like mother (毋) with dot (毎)!
34,34,Siang seperti sepuluh (十) di atas mulut (口) (午)!,Noon like ten (十) above mouth (口) (午)!
35,35,Depan seperti kaki di depan perahu (前)!,Front like legs in front of boat (前)!
36,36,Belakang seperti benang yang mengikuti (後)!,Behind like thread that follows (後)!
37,37,Atas seperti garis di atas sepuluh (上)!,Above like line above ten (上)!
38,38,Bawah seperti titik di bawah garis (下)!,Below like dot below line (下)!
39,39,Tengah seperti garis vertikal menembus kotak (中)!,Middle like vertical line through box (中)!
40,40,Besar seperti orang yang merentangkan tangan (大)!,Big like person spreading arms (大)!
41,41,Kecil seperti tiga titik kecil (小)!,Small like three small dots (小)!
42,42,Tinggi seperti rumah tinggi dengan atap runcing (高)!,High like tall house with pointed roof (高)!
43,43,Murah seperti rumah dengan atap datar - mudah dibuat (安)!,Cheap like house with flat roof - easy to make (安)!
44,44,Baru seperti pohon (木) yang masih muda dengan daun (新)!,New like young tree (木) with leaves (新)!
45,45,Lama seperti sepuluh (十) mulut (口) yang sudah tua (古)!,Old like ten (十) mouths (口) that are old (古)!
46,46,Panjang seperti rambut panjang (長)!,Long like long hair (長)!
47,47,Pendek seperti anak panah pendek (短)!,Short like short arrow (短)!
48,48,Banyak seperti dua bulan (夕) bertumpuk (多)!,Many like two evenings (夕) stacked (多)!
49,49,Sedikit seperti empat titik kecil (少)!,Few like four small dots (少)!
50,50,Suka seperti wanita (女) dengan anak (子) (好)!,Like as woman (女) with child (子) (好)!
51,51,Datang seperti gandum yang tumbuh (来)!,Come like wheat growing (来)!
52,52,Pergi seperti berjalan di jalan (行)!,Go like walking on road (行)!
53,53,Pulang seperti pintu dengan kunci (帰)!,Return like door with key (帰)!
54,54,Makan seperti orang di bawah atap (食)!,Eat like person under roof (食)!
55,55,Minum seperti makanan (食) ditambah air (飲)!,Drink like food (食) plus water (飲)!
56,56,Beli seperti mata (目) dan kaki (儿) untuk berbelanja (買)!,Buy like eyes (目) and legs (儿) for shopping (買)!
57,57,Jual seperti sepuluh (十) di atas tanah (土) untuk berdagang (売)!,Sell like ten (十) above earth (土) for trading (売)!
58,58,Lihat seperti mata (目) di atas kaki (儿) (見)!,See like eyes (目) above legs (儿) (見)!
59,59,Dengar seperti telinga di pintu (聞)!,Hear like ear at door (聞)!
60,60,Bicara seperti kata (言) dengan lidah (舌) (話)!,Speak like word (言) with tongue (舌) (話)!
61,61,Baca seperti kata (言) di atas penjualan (売) (読)!,Read like word (言) above selling (売) (読)!
62,62,Tulis seperti tangan memegang kuas (書)!,Write like hand holding brush (書)!
63,63,Buat seperti orang (人) dengan tangan untuk bekerja (作)!,Make like person (人) with hands to work (作)!
64,64,Bertemu seperti orang berkumpul (会)!,Meet like people gathering (会)!
65,65,Bilang seperti mulut (口) yang berbicara (言)!,Say like mouth (口) that speaks (言)!
66,66,Pikir seperti lapangan (田) dan hati (心) (思)!,Think like field (田) and heart (心) (思)!
67,67,Tahu seperti panah (矢) mengenai mulut (口) (知)!,Know like arrow (矢) hitting mouth (口) (知)!
68,68,Keluar seperti gunung bertingkat (出)!,Exit like layered mountain (出)!
69,69,Masuk seperti orang masuk pintu (入)!,Enter like person entering door (入)!
70,70,Berdiri seperti orang berdiri di tanah (立)!,Stand like person standing on ground (立)!
71,71,Istirahat seperti orang (人) bersandar di pohon (木) (休)!,Rest like person (人) leaning on tree (木) (休)!
72,72,Kerja seperti orang bekerja dengan alat (働)!,Work like person working with tools (働)!
73,73,Belajar seperti kekuatan (力) untuk belajar (勉)!,Study like strength (力) to study (勉)!
74,74,Kuat seperti busur yang kencang (強)!,Strong like tight bow (強)!
75,75,Teman seperti dua tangan yang bersahabat (友)!,Friend like two hands being friendly (友)!kanji_id,id-ID,en-US
1,1,Anak itu lari ke depan lebih dulu—dia mau jadi yang paling dahulu (先)!,The kid with horns runs ahead — he wants to go first (先)!
1,2,Tumbuhan yang muncul dari tanah itu masih hidup dan mentah — itu adalah kehidupan (生)!,"The little sprout is raw, alive, and growing — that’s life (生)!"
